"filename", "language", "TypeScript", "JavaScript", "JSON", "Ignore", "TypeScript JSX", "JSON with Comments", "XML", "SQL", "Prisma", "CSS", "Docker", "Markdown", "comment", "blank", "total"
"e:\Work\timer-app-ts\.eslintrc.cjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"e:\Work\timer-app-ts\.graphqlrc.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 42
"e:\Work\timer-app-ts\.prettierignore", "Ignore", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Work\timer-app-ts\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 7, 20
"e:\Work\timer-app-ts\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 98, 282
"e:\Work\timer-app-ts\app\assets\bar.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"e:\Work\timer-app-ts\app\assets\cart_page.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Work\timer-app-ts\app\assets\landing_page.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Work\timer-app-ts\app\assets\product_page.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"e:\Work\timer-app-ts\app\components\ProductTimer.client.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 7, 90
"e:\Work\timer-app-ts\app\components\ProductTimerSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
